,benchmark,config,size (bytes)
0,bench_calc.mor,llvm-record_rc-default-rc-cow,31000
1,bench_calc.mor,llvm-record_time-default-rc-cow,26712
2,bench_calc.mor,llvm-record_rc-default-rc-persistent,48000
3,bench_calc.mor,llvm-record_time-default-rc-persistent,47864
4,bench_calc.mor,llvm-record_rc-perceus-rc-cow,43760
5,bench_calc.mor,llvm-record_time-perceus-rc-cow,39392
6,bench_calc.mor,llvm-record_rc-perceus-rc-persistent,56720
7,bench_calc.mor,llvm-record_time-perceus-rc-persistent,56488
8,bench_calc.mor,llvm-record_time-default-bdw-persistent,180496
9,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,180496
10,bench_calc.mor,sml-typed,363488
11,bench_calc.mor,sml-first_order,347224
12,bench_calc.mor,ocaml-typed,3691264
13,bench_calc.mor,ocaml-first_order,3882800
14,bench_cfold.mor,llvm-record_rc-default-rc-cow,22600
15,bench_cfold.mor,llvm-record_time-default-rc-cow,22464
16,bench_cfold.mor,llvm-record_rc-default-rc-persistent,31088
17,bench_cfold.mor,llvm-record_time-default-rc-persistent,30952
18,bench_cfold.mor,llvm-record_rc-perceus-rc-cow,30872
19,bench_cfold.mor,llvm-record_time-perceus-rc-cow,30736
20,bench_cfold.mor,llvm-record_rc-perceus-rc-persistent,35232
21,bench_cfold.mor,llvm-record_time-perceus-rc-persistent,35096
22,bench_cfold.mor,llvm-record_time-default-bdw-persistent,172064
23,bench_cfold.mor,llvm-record_time-perceus-bdw-persistent,172064
24,bench_cfold.mor,sml-typed,318000
25,bench_cfold.mor,sml-first_order,318040
26,bench_cfold.mor,ocaml-typed,3655600
27,bench_cfold.mor,ocaml-first_order,3581040
28,bench_deriv.mor,llvm-record_rc-default-rc-cow,26688
29,bench_deriv.mor,llvm-record_time-default-rc-cow,26552
30,bench_deriv.mor,llvm-record_rc-default-rc-persistent,35184
31,bench_deriv.mor,llvm-record_time-default-rc-persistent,35048
32,bench_deriv.mor,llvm-record_rc-perceus-rc-cow,47344
33,bench_deriv.mor,llvm-record_time-perceus-rc-cow,47208
34,bench_deriv.mor,llvm-record_rc-perceus-rc-persistent,63992
35,bench_deriv.mor,llvm-record_time-perceus-rc-persistent,63856
36,bench_deriv.mor,llvm-record_time-default-bdw-persistent,176080
37,bench_deriv.mor,llvm-record_time-perceus-bdw-persistent,176080
38,bench_deriv.mor,sml-typed,326032
39,bench_deriv.mor,sml-first_order,326056
40,bench_deriv.mor,ocaml-typed,3657024
41,bench_deriv.mor,ocaml-first_order,3592704
42,bench_lisp.mor,llvm-record_rc-default-rc-cow,110328
43,bench_lisp.mor,llvm-record_time-default-rc-cow,106056
44,bench_lisp.mor,llvm-record_rc-default-rc-persistent,223424
45,bench_lisp.mor,llvm-record_time-default-rc-persistent,223120
46,bench_lisp.mor,llvm-record_rc-perceus-rc-cow,200696
47,bench_lisp.mor,llvm-record_time-perceus-rc-cow,184184
48,bench_lisp.mor,llvm-record_rc-perceus-rc-persistent,346160
49,bench_lisp.mor,llvm-record_time-perceus-rc-persistent,370408
50,bench_lisp.mor,llvm-record_time-default-bdw-persistent,300880
51,bench_lisp.mor,llvm-record_time-perceus-bdw-persistent,296576
52,bench_lisp.mor,sml-typed,606704
53,bench_lisp.mor,sml-first_order,606504
54,bench_lisp.mor,ocaml-typed,3736040
55,bench_lisp.mor,ocaml-first_order,3822608
56,bench_nqueens_functional.mor,llvm-record_rc-default-rc-cow,26728
57,bench_nqueens_functional.mor,llvm-record_time-default-rc-cow,26584
58,bench_nqueens_functional.mor,llvm-record_rc-default-rc-persistent,43992
59,bench_nqueens_functional.mor,llvm-record_time-default-rc-persistent,43736
60,bench_nqueens_functional.mor,llvm-record_rc-perceus-rc-cow,26848
61,bench_nqueens_functional.mor,llvm-record_time-perceus-rc-cow,26704
62,bench_nqueens_functional.mor,llvm-record_rc-perceus-rc-persistent,44048
63,bench_nqueens_functional.mor,llvm-record_time-perceus-rc-persistent,43792
64,bench_nqueens_functional.mor,llvm-record_time-default-bdw-persistent,180600
65,bench_nqueens_functional.mor,llvm-record_time-perceus-bdw-persistent,180600
66,bench_nqueens_functional.mor,sml-typed,365448
67,bench_nqueens_functional.mor,sml-first_order,365088
68,bench_nqueens_functional.mor,ocaml-typed,3667808
69,bench_nqueens_functional.mor,ocaml-first_order,3604056
70,bench_nqueens_iterative.mor,llvm-record_rc-default-rc-cow,26728
71,bench_nqueens_iterative.mor,llvm-record_time-default-rc-cow,26584
72,bench_nqueens_iterative.mor,llvm-record_rc-default-rc-persistent,43992
73,bench_nqueens_iterative.mor,llvm-record_time-default-rc-persistent,43736
74,bench_nqueens_iterative.mor,llvm-record_rc-perceus-rc-cow,26848
75,bench_nqueens_iterative.mor,llvm-record_time-perceus-rc-cow,26704
76,bench_nqueens_iterative.mor,llvm-record_rc-perceus-rc-persistent,44048
77,bench_nqueens_iterative.mor,llvm-record_time-perceus-rc-persistent,43792
78,bench_nqueens_iterative.mor,llvm-record_time-default-bdw-persistent,180600
79,bench_nqueens_iterative.mor,llvm-record_time-perceus-bdw-persistent,180600
80,bench_nqueens_iterative.mor,sml-typed,364888
81,bench_nqueens_iterative.mor,sml-first_order,364720
82,bench_nqueens_iterative.mor,ocaml-typed,3667000
83,bench_nqueens_iterative.mor,ocaml-first_order,3599360
84,bench_parse_json.mor,llvm-record_rc-default-rc-cow,39624
85,bench_parse_json.mor,llvm-record_time-default-rc-cow,39480
86,bench_parse_json.mor,llvm-record_rc-default-rc-persistent,65056
87,bench_parse_json.mor,llvm-record_time-default-rc-persistent,64920
88,bench_parse_json.mor,llvm-record_rc-perceus-rc-cow,61056
89,bench_parse_json.mor,llvm-record_time-perceus-rc-cow,56536
90,bench_parse_json.mor,llvm-record_rc-perceus-rc-persistent,98784
91,bench_parse_json.mor,llvm-record_time-perceus-rc-persistent,94424
92,bench_parse_json.mor,llvm-record_time-default-bdw-persistent,197248
93,bench_parse_json.mor,llvm-record_time-perceus-bdw-persistent,193112
94,bench_parse_json.mor,sml-typed,424560
95,bench_parse_json.mor,sml-first_order,394560
96,bench_parse_json.mor,ocaml-typed,3749040
97,bench_parse_json.mor,ocaml-first_order,4371768
98,bench_primes_sieve.mor,llvm-record_rc-default-rc-cow,22416
99,bench_primes_sieve.mor,llvm-record_time-default-rc-cow,22280
100,bench_primes_sieve.mor,llvm-record_rc-default-rc-persistent,31096
101,bench_primes_sieve.mor,llvm-record_time-default-rc-persistent,30960
102,bench_primes_sieve.mor,llvm-record_rc-perceus-rc-cow,22536
103,bench_primes_sieve.mor,llvm-record_time-perceus-rc-cow,22368
104,bench_primes_sieve.mor,llvm-record_rc-perceus-rc-persistent,35280
105,bench_primes_sieve.mor,llvm-record_time-perceus-rc-persistent,35144
106,bench_primes_sieve.mor,llvm-record_time-default-bdw-persistent,171992
107,bench_primes_sieve.mor,llvm-record_time-perceus-bdw-persistent,171992
108,bench_primes_sieve.mor,sml-typed,339184
109,bench_primes_sieve.mor,sml-first_order,336624
110,bench_primes_sieve.mor,ocaml-typed,3656040
111,bench_primes_sieve.mor,ocaml-first_order,3623632
112,bench_rbtree.mor,llvm-record_rc-default-rc-cow,26672
113,bench_rbtree.mor,llvm-record_time-default-rc-cow,26528
114,bench_rbtree.mor,llvm-record_rc-default-rc-persistent,39464
115,bench_rbtree.mor,llvm-record_time-default-rc-persistent,35232
116,bench_rbtree.mor,llvm-record_rc-perceus-rc-cow,35016
117,bench_rbtree.mor,llvm-record_time-perceus-rc-cow,30776
118,bench_rbtree.mor,llvm-record_rc-perceus-rc-persistent,43648
119,bench_rbtree.mor,llvm-record_time-perceus-rc-persistent,43512
120,bench_rbtree.mor,llvm-record_time-default-bdw-persistent,176184
121,bench_rbtree.mor,llvm-record_time-perceus-bdw-persistent,176184
122,bench_rbtree.mor,sml-typed,342992
123,bench_rbtree.mor,sml-first_order,342504
124,bench_rbtree.mor,ocaml-typed,3658280
125,bench_rbtree.mor,ocaml-first_order,3594400
126,bench_rbtree_ck.mor,llvm-record_rc-default-rc-cow,26672
127,bench_rbtree_ck.mor,llvm-record_time-default-rc-cow,26528
128,bench_rbtree_ck.mor,llvm-record_rc-default-rc-persistent,39464
129,bench_rbtree_ck.mor,llvm-record_time-default-rc-persistent,35232
130,bench_rbtree_ck.mor,llvm-record_rc-perceus-rc-cow,35016
131,bench_rbtree_ck.mor,llvm-record_time-perceus-rc-cow,30776
132,bench_rbtree_ck.mor,llvm-record_rc-perceus-rc-persistent,43648
133,bench_rbtree_ck.mor,llvm-record_time-perceus-rc-persistent,43512
134,bench_rbtree_ck.mor,llvm-record_time-default-bdw-persistent,176184
135,bench_rbtree_ck.mor,llvm-record_time-perceus-bdw-persistent,176184
136,bench_rbtree_ck.mor,sml-typed,342960
137,bench_rbtree_ck.mor,sml-first_order,342632
138,bench_rbtree_ck.mor,ocaml-typed,3660896
139,bench_rbtree_ck.mor,ocaml-first_order,3596160
140,bench_text_stats.mor,llvm-record_rc-default-rc-cow,26480
141,bench_text_stats.mor,llvm-record_time-default-rc-cow,26296
142,bench_text_stats.mor,llvm-record_rc-default-rc-persistent,43368
143,bench_text_stats.mor,llvm-record_time-default-rc-persistent,43152
144,bench_text_stats.mor,llvm-record_rc-perceus-rc-cow,30728
145,bench_text_stats.mor,llvm-record_time-perceus-rc-cow,26416
146,bench_text_stats.mor,llvm-record_rc-perceus-rc-persistent,43456
147,bench_text_stats.mor,llvm-record_time-perceus-rc-persistent,43264
148,bench_text_stats.mor,llvm-record_time-default-bdw-persistent,184232
149,bench_text_stats.mor,llvm-record_time-perceus-bdw-persistent,184232
150,bench_text_stats.mor,sml-typed,344688
151,bench_text_stats.mor,sml-first_order,344688
152,bench_text_stats.mor,ocaml-typed,3658096
153,bench_text_stats.mor,ocaml-first_order,3605408
154,bench_unify.mor,llvm-record_rc-default-rc-cow,44336
155,bench_unify.mor,llvm-record_time-default-rc-cow,44016
156,bench_unify.mor,llvm-record_rc-default-rc-persistent,82600
157,bench_unify.mor,llvm-record_time-default-rc-persistent,82360
158,bench_unify.mor,llvm-record_rc-perceus-rc-cow,78056
159,bench_unify.mor,llvm-record_time-perceus-rc-cow,77528
160,bench_unify.mor,llvm-record_rc-perceus-rc-persistent,128632
161,bench_unify.mor,llvm-record_time-perceus-rc-persistent,136616
162,bench_unify.mor,llvm-record_time-default-bdw-persistent,210120
163,bench_unify.mor,llvm-record_time-perceus-bdw-persistent,210168
164,bench_unify.mor,sml-typed,461368
165,bench_unify.mor,sml-first_order,455248
166,bench_unify.mor,ocaml-typed,3712232
167,bench_unify.mor,ocaml-first_order,4047192
168,bench_words_trie.mor,llvm-record_rc-default-rc-cow,26856
169,bench_words_trie.mor,llvm-record_time-default-rc-cow,30696
170,bench_words_trie.mor,llvm-record_rc-default-rc-persistent,52448
171,bench_words_trie.mor,llvm-record_time-default-rc-persistent,48064
172,bench_words_trie.mor,llvm-record_rc-perceus-rc-cow,35200
173,bench_words_trie.mor,llvm-record_time-perceus-rc-cow,34912
174,bench_words_trie.mor,llvm-record_rc-perceus-rc-persistent,60952
175,bench_words_trie.mor,llvm-record_time-perceus-rc-persistent,60536
176,bench_words_trie.mor,llvm-record_time-default-bdw-persistent,184616
177,bench_words_trie.mor,llvm-record_time-perceus-bdw-persistent,184616
178,bench_words_trie.mor,sml-typed,379112
179,bench_words_trie.mor,sml-first_order,381592
180,bench_words_trie.mor,ocaml-typed,3669352
181,bench_words_trie.mor,ocaml-first_order,3665536
