,benchmark,config,time (ns)
0,bench_calc.mor,llvm-record_time-default-rc-cow,140307641
1,bench_calc.mor,llvm-record_time-default-rc-cow,141028904
2,bench_calc.mor,llvm-record_time-default-rc-cow,139710950
3,bench_calc.mor,llvm-record_time-default-rc-cow,140244988
4,bench_calc.mor,llvm-record_time-default-rc-cow,140570254
5,bench_calc.mor,llvm-record_time-default-rc-cow,139443588
6,bench_calc.mor,llvm-record_time-default-rc-cow,140389534
7,bench_calc.mor,llvm-record_time-default-rc-cow,141070742
8,bench_calc.mor,llvm-record_time-default-rc-cow,139328684
9,bench_calc.mor,llvm-record_time-default-rc-cow,138402554
10,bench_calc.mor,llvm-record_time-default-rc-persistent,161463891
11,bench_calc.mor,llvm-record_time-default-rc-persistent,161405478
12,bench_calc.mor,llvm-record_time-default-rc-persistent,160017443
13,bench_calc.mor,llvm-record_time-default-rc-persistent,159403692
14,bench_calc.mor,llvm-record_time-default-rc-persistent,159015694
15,bench_calc.mor,llvm-record_time-default-rc-persistent,159204262
16,bench_calc.mor,llvm-record_time-default-rc-persistent,160241882
17,bench_calc.mor,llvm-record_time-default-rc-persistent,158167889
18,bench_calc.mor,llvm-record_time-default-rc-persistent,158863232
19,bench_calc.mor,llvm-record_time-default-rc-persistent,158682019
20,bench_calc.mor,llvm-record_time-perceus-rc-cow,375036576
21,bench_calc.mor,llvm-record_time-perceus-rc-cow,377244323
22,bench_calc.mor,llvm-record_time-perceus-rc-cow,376903187
23,bench_calc.mor,llvm-record_time-perceus-rc-cow,372868337
24,bench_calc.mor,llvm-record_time-perceus-rc-cow,372848574
25,bench_calc.mor,llvm-record_time-perceus-rc-cow,370456262
26,bench_calc.mor,llvm-record_time-perceus-rc-cow,370486946
27,bench_calc.mor,llvm-record_time-perceus-rc-cow,372939216
28,bench_calc.mor,llvm-record_time-perceus-rc-cow,372625586
29,bench_calc.mor,llvm-record_time-perceus-rc-cow,372232819
30,bench_calc.mor,llvm-record_time-perceus-rc-persistent,488179308
31,bench_calc.mor,llvm-record_time-perceus-rc-persistent,487361921
32,bench_calc.mor,llvm-record_time-perceus-rc-persistent,486214102
33,bench_calc.mor,llvm-record_time-perceus-rc-persistent,490615713
34,bench_calc.mor,llvm-record_time-perceus-rc-persistent,488656569
35,bench_calc.mor,llvm-record_time-perceus-rc-persistent,488520020
36,bench_calc.mor,llvm-record_time-perceus-rc-persistent,492493907
37,bench_calc.mor,llvm-record_time-perceus-rc-persistent,485419755
38,bench_calc.mor,llvm-record_time-perceus-rc-persistent,484946635
39,bench_calc.mor,llvm-record_time-perceus-rc-persistent,487446141
40,bench_calc.mor,llvm-record_time-default-bdw-persistent,144009744
41,bench_calc.mor,llvm-record_time-default-bdw-persistent,144266654
42,bench_calc.mor,llvm-record_time-default-bdw-persistent,144819252
43,bench_calc.mor,llvm-record_time-default-bdw-persistent,142551171
44,bench_calc.mor,llvm-record_time-default-bdw-persistent,143248632
45,bench_calc.mor,llvm-record_time-default-bdw-persistent,142407855
46,bench_calc.mor,llvm-record_time-default-bdw-persistent,142671418
47,bench_calc.mor,llvm-record_time-default-bdw-persistent,142527878
48,bench_calc.mor,llvm-record_time-default-bdw-persistent,143624531
49,bench_calc.mor,llvm-record_time-default-bdw-persistent,143556545
50,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,152812367
51,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,153527626
52,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,149344274
53,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,153695253
54,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,152019753
55,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,151637142
56,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,152276598
57,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,152386175
58,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,151518264
59,bench_calc.mor,llvm-record_time-perceus-bdw-persistent,155688181
60,bench_calc.mor,sml-typed,2476314000
61,bench_calc.mor,sml-typed,2484088000
62,bench_calc.mor,sml-typed,2457793000
63,bench_calc.mor,sml-typed,2467873000
64,bench_calc.mor,sml-typed,2461842000
65,bench_calc.mor,sml-typed,2472847000
66,bench_calc.mor,sml-typed,2479029000
67,bench_calc.mor,sml-typed,2550471000
68,bench_calc.mor,sml-typed,2521906000
69,bench_calc.mor,sml-typed,2508807000
70,bench_calc.mor,sml-first_order,1988671000
71,bench_calc.mor,sml-first_order,1968169000
72,bench_calc.mor,sml-first_order,1975971000
73,bench_calc.mor,sml-first_order,1988524000
74,bench_calc.mor,sml-first_order,1973899000
75,bench_calc.mor,sml-first_order,1958932000
76,bench_calc.mor,sml-first_order,1952825000
77,bench_calc.mor,sml-first_order,1962226000
78,bench_calc.mor,sml-first_order,1960614000
79,bench_calc.mor,sml-first_order,1954773000
80,bench_calc.mor,ocaml-typed,7558048146
81,bench_calc.mor,ocaml-typed,7517197986
82,bench_calc.mor,ocaml-typed,7393667830
83,bench_calc.mor,ocaml-typed,7360391282
84,bench_calc.mor,ocaml-typed,7485922712
85,bench_calc.mor,ocaml-typed,7551909343
86,bench_calc.mor,ocaml-typed,7460326576
87,bench_calc.mor,ocaml-typed,7402824538
88,bench_calc.mor,ocaml-typed,7379186535
89,bench_calc.mor,ocaml-typed,7560484550
90,bench_calc.mor,ocaml-first_order,6533416405
91,bench_calc.mor,ocaml-first_order,6520189902
92,bench_calc.mor,ocaml-first_order,6522595780
93,bench_calc.mor,ocaml-first_order,6549892806
94,bench_calc.mor,ocaml-first_order,6633608005
95,bench_calc.mor,ocaml-first_order,6505578410
96,bench_calc.mor,ocaml-first_order,6455009596
97,bench_calc.mor,ocaml-first_order,6532828953
98,bench_calc.mor,ocaml-first_order,6587013140
99,bench_calc.mor,ocaml-first_order,6614964147
100,bench_cfold.mor,llvm-record_time-default-rc-cow,74356850
101,bench_cfold.mor,llvm-record_time-default-rc-cow,75898668
102,bench_cfold.mor,llvm-record_time-default-rc-cow,73514362
103,bench_cfold.mor,llvm-record_time-default-rc-cow,73827988
104,bench_cfold.mor,llvm-record_time-default-rc-cow,73701211
105,bench_cfold.mor,llvm-record_time-default-rc-cow,72545464
106,bench_cfold.mor,llvm-record_time-default-rc-cow,74924298
107,bench_cfold.mor,llvm-record_time-default-rc-cow,74229620
108,bench_cfold.mor,llvm-record_time-default-rc-cow,74964236
109,bench_cfold.mor,llvm-record_time-default-rc-cow,73811486
110,bench_cfold.mor,llvm-record_time-default-rc-persistent,74820705
111,bench_cfold.mor,llvm-record_time-default-rc-persistent,74000503
112,bench_cfold.mor,llvm-record_time-default-rc-persistent,75136231
113,bench_cfold.mor,llvm-record_time-default-rc-persistent,74630645
114,bench_cfold.mor,llvm-record_time-default-rc-persistent,75056926
115,bench_cfold.mor,llvm-record_time-default-rc-persistent,74442872
116,bench_cfold.mor,llvm-record_time-default-rc-persistent,75206551
117,bench_cfold.mor,llvm-record_time-default-rc-persistent,76000926
118,bench_cfold.mor,llvm-record_time-default-rc-persistent,74595618
119,bench_cfold.mor,llvm-record_time-default-rc-persistent,73949403
120,bench_cfold.mor,llvm-record_time-perceus-rc-cow,85474927
121,bench_cfold.mor,llvm-record_time-perceus-rc-cow,84561940
122,bench_cfold.mor,llvm-record_time-perceus-rc-cow,84761519
123,bench_cfold.mor,llvm-record_time-perceus-rc-cow,86540461
124,bench_cfold.mor,llvm-record_time-perceus-rc-cow,84181302
125,bench_cfold.mor,llvm-record_time-perceus-rc-cow,86621906
126,bench_cfold.mor,llvm-record_time-perceus-rc-cow,85864283
127,bench_cfold.mor,llvm-record_time-perceus-rc-cow,86663825
128,bench_cfold.mor,llvm-record_time-perceus-rc-cow,84683147
129,bench_cfold.mor,llvm-record_time-perceus-rc-cow,85808055
