,benchmark,config,time (ns)
0,bench_calc.mor,llvm-record_time-default-rc-cow,289890502
1,bench_calc.mor,llvm-record_time-default-rc-cow,289464637
2,bench_calc.mor,llvm-record_time-default-rc-cow,289722397
3,bench_calc.mor,llvm-record_time-default-rc-cow,289449547
4,bench_calc.mor,llvm-record_time-default-rc-cow,289286514
5,bench_calc.mor,llvm-record_time-default-rc-cow,289188117
6,bench_calc.mor,llvm-record_time-default-rc-cow,290645446
7,bench_calc.mor,llvm-record_time-default-rc-cow,289249688
8,bench_calc.mor,llvm-record_time-default-rc-cow,289847528
9,bench_calc.mor,llvm-record_time-default-rc-cow,289474555
10,bench_calc.mor,llvm-record_time-default-rc-persistent,333756353
11,bench_calc.mor,llvm-record_time-default-rc-persistent,333329888
12,bench_calc.mor,llvm-record_time-default-rc-persistent,333528489
13,bench_calc.mor,llvm-record_time-default-rc-persistent,333593068
14,bench_calc.mor,llvm-record_time-default-rc-persistent,333547636
15,bench_calc.mor,llvm-record_time-default-rc-persistent,333297652
16,bench_calc.mor,llvm-record_time-default-rc-persistent,333136045
17,bench_calc.mor,llvm-record_time-default-rc-persistent,333449207
18,bench_calc.mor,llvm-record_time-default-rc-persistent,334448625
19,bench_calc.mor,llvm-record_time-default-rc-persistent,333365940
20,bench_calc.mor,llvm-record_time-perceus-rc-cow,798214801
21,bench_calc.mor,llvm-record_time-perceus-rc-cow,797924352
22,bench_calc.mor,llvm-record_time-perceus-rc-cow,797850666
23,bench_calc.mor,llvm-record_time-perceus-rc-cow,797413371
24,bench_calc.mor,llvm-record_time-perceus-rc-cow,798513177
25,bench_calc.mor,llvm-record_time-perceus-rc-cow,799751527
26,bench_calc.mor,llvm-record_time-perceus-rc-cow,796909758
27,bench_calc.mor,llvm-record_time-perceus-rc-cow,798678030
28,bench_calc.mor,llvm-record_time-perceus-rc-cow,797266688
29,bench_calc.mor,llvm-record_time-perceus-rc-cow,800130227
30,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1052396880
31,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1049534053
32,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1047888713
33,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1046769106
34,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1048330259
35,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1048417605
36,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1050535494
37,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1048086763
38,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1048336341
39,bench_calc.mor,llvm-record_time-perceus-rc-persistent,1048195319
40,bench_calc.mor,llvm-record_time-default-bdw-persistent,303840139
41,bench_calc.mor,llvm-record_time-default-bdw-persistent,303212601
42,bench_calc.mor,llvm-record_time-default-bdw-persistent,303591531
43,bench_calc.mor,llvm-record_time-default-bdw-persistent,305155590
